"database_identifier"	"chemical_formula"	"inchi"	"smiles"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Bur-C-1"	"Bur-C-2"	"Bur-C-3"	"Can-C-1"	"Can-C-2"	"Can-C-3"	"Col-C-1"	"Col-C-2"	"Col-C-3"	"Ct-C-1"	"Ct-C-2"	"Ct-C-3"	"Edi-C-1"	"Edi-C-2"	"Edi-C-3"	"Hi-C-1"	"Hi-C-2"	"Hi-C-3"	"Kn-C-1"	"Kn-C-2"	"Kn-C-3"	"Ler-C-1"	"Ler-C-2"	"Ler-C-3"	"Mt-C-1"	"Mt-C-2"	"Mt-C-3"	"No-C-1"	"No-C-2"	"No-C-3"	"Oy-C-1"	"Oy-C-2"	"Oy-C-3"	"Po-C-1"	"Po-C-2"	"Po-C-3"	"Rsch-C-1"	"Rsch-C-2"	"Rsch-C-3"	"Sf-C-1"	"Sf-C-2"	"Sf-C-3"	"Tsu-C-1"	"Tsu-C-2"	"Tsu-C-3"	"Wil-C-1"	"Wil-C-2"	"Will-C-3"	"Ws-C-1"	"Ws-C-2"	"Ws-C-3"	"Wu-C-1"	"Wu-C-2"	"Wu-C-3"	"Zu-C-1"	"Zu-C-2"	"Zu-C-3"
""	"C10H21NO2S"	"InChI=1S/C10H21NO2S/c1-14-8-6-4-2-3-5-7-9(11)10(12)13/h9H,2-8,11H2,1H3,(H,12,13)"	"CSCCCCCCCC(C(=O)O)N"	"Pentahomo-Met"	"174.13"	""	""	"276"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	"     0.0000"	"     0.0000"	"     0.00000"	"     0.0000"	"6.403402e+03"	"     0.0000"	"      0.0000"	"   9437.557"	"     0.00000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"      0.000"	"     0.00000"	"      0.0000"	"     0.0000"	"     0.0000"	"      0.000"	"  17421.5105"	"     0.00000"	"   8358.473"	"   3092.4765"	"      0.000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"    0.0000"	"     0.0000"	"     0.0000"	"  5276.4765"	"     0.0000"	"   3212.9476"	"      0.000"	"      0.0000"	"     0.0000"	"  4455.8311"	"     0.0000"	"   3504.677"	"   4549.800"	"     0.000"	"   2613.0217"	"0.000000e+00"	"      0.0000"	"      0.0000"	"      0.0000"	"     0.0000"	"  1318.420"	"      0.0000"	"      0.0000"	"     0.00000"	"      0.0000"	"     0.0000"
""	"C11H23NO2S"	"InChI=1S/C11H23NO2S/c1-15-9-7-5-3-2-4-6-8-10(12)11(13)14/h10H,2-9,12H2,1H3,(H,13,14)"	"CSCCCCCCCCC(C(=O)O)N"	"Hexahomo-Met"	"188.15"	""	""	"324"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	"     0.0000"	"  9061.1087"	"     0.00000"	" 15049.2404"	"1.522849e+05"	"     0.0000"	"   7229.2946"	"  69408.795"	"     0.00000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"  3753.1001"	"     0.0000"	"   1717.0400"	"   6676.858"	"     0.00000"	"  34270.0653"	" 20291.6684"	"     0.0000"	"  13739.879"	" 519652.3752"	"     0.00000"	"  73483.242"	"  40357.5934"	"      0.000"	"  3482.5947"	" 11783.4294"	"     0.0000"	"   2141.7343"	" 2307.4995"	"     0.0000"	"     0.0000"	" 75534.3287"	"     0.0000"	"  39396.3545"	"   8585.223"	"      0.0000"	"     0.0000"	" 43140.6562"	"     0.0000"	"  70795.587"	" 118729.462"	"     0.000"	"  46808.3624"	"1.102038e+04"	"      0.0000"	"   6651.4108"	"  23605.9973"	"     0.0000"	" 23454.782"	"  11330.4860"	"      0.0000"	"     0.00000"	"      0.0000"	"     0.0000"
""	""	""	""	"Pentahomo-Met S-Oxide"	"190.12"	""	""	" 84"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	" 29952.3141"	" 31629.1731"	" 10788.51065"	" 30398.6825"	"4.277073e+04"	" 22159.7371"	"  44241.7814"	"  15762.508"	"  6811.01405"	" 17575.8141"	" 10392.9441"	"  5862.5927"	" 15919.9690"	" 11266.8557"	"     0.0000"	"   9757.3071"	"  18920.331"	" 16596.09175"	"  21256.4468"	" 25378.4130"	" 11342.0846"	"  32393.770"	"  35189.3045"	"  5513.65714"	"  70937.583"	"  33134.7343"	"  31302.533"	" 28334.3835"	" 21295.9117"	"  8964.2552"	"  17698.8270"	" 8738.7511"	"  7862.9233"	" 19988.3471"	" 10348.0399"	" 16622.2954"	"  35828.1246"	"  30154.409"	"  28487.7902"	" 12268.3575"	" 11559.4445"	"  6438.6403"	"  44280.953"	"  34249.894"	" 17627.969"	"  54152.6162"	"2.716924e+04"	"  17322.9511"	"  26244.5706"	"  22037.5454"	"     0.0000"	" 23701.972"	"  23595.9459"	"  12610.9470"	" 22661.69039"	"  32857.6186"	" 15274.3981"
""	""	""	""	"Hexahomo-Met S-Oxide"	"204.14"	""	""	"162"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	" 91588.2814"	"125857.9784"	" 28499.52954"	"209020.0617"	"5.726052e+05"	"127064.6116"	" 276999.4138"	"  62429.979"	" 42569.55422"	" 96302.7544"	" 22959.1000"	" 21688.1994"	"158552.9725"	" 59275.8731"	" 19864.4528"	"  50771.7305"	"  89414.350"	"202891.37010"	" 382825.3889"	"216045.6499"	" 76493.7895"	" 302703.668"	" 572213.3749"	" 64447.21759"	" 411582.524"	" 316066.9861"	" 259218.841"	"147180.0162"	"136889.8088"	" 32377.4478"	" 161564.8959"	"34491.6479"	" 28350.2636"	"168129.7170"	" 63164.0181"	"146702.1408"	" 310933.9289"	" 174396.458"	" 103069.6419"	" 32574.2356"	" 54861.1061"	" 16534.4242"	" 551253.131"	" 438941.510"	"156326.090"	" 540626.3511"	"3.454056e+05"	" 365735.0862"	" 242885.0997"	" 228723.5027"	" 20399.1435"	"200362.553"	" 142453.4887"	" 100831.9062"	" 60696.88484"	" 182180.4955"	" 41697.5282"
"CHEBI:73635"	"C11H14N2O3"	"InChI=1/C11H14N2O3/c12-9(11(16)13-7-10(14)15)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,16)(H,14,15)/t9-/m0/s1"	"C1=CC=C(C=C1)C[C@@H](C(=O)NCC(=O)O)N"	"H-Phe-Gly-OH"	"223.11"	""	""	"102"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"     0.0000"	"     0.0000"	"     0.00000"	"     0.0000"	"0.000000e+00"	"     0.0000"	"      0.0000"	"      0.000"	"     0.00000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"      0.000"	"     0.00000"	"      0.0000"	"     0.0000"	"     0.0000"	"      0.000"	"      0.0000"	"     0.00000"	"   5476.119"	"      0.0000"	"      0.000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"    0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"      0.000"	"      0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.000"	"      0.000"	"     0.000"	"      0.0000"	"0.000000e+00"	"      0.0000"	"      0.0000"	"      0.0000"	"     0.0000"	"  7425.473"	"      0.0000"	"      0.0000"	"     0.00000"	"      0.0000"	"     0.0000"
""	"C11H14N2O3"	"InChI=1S/C11H14N2O3/c12-7-10(14)13-9(11(15)16)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,14)(H,15,16)"	"c1ccc(cc1)CC(C(=O)O)NC(=O)CN"	"H-Gly-Phe-OH"	"223.11"	""	""	"138"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	"     0.0000"	"     0.0000"	"     0.00000"	"     0.0000"	"0.000000e+00"	"     0.0000"	"      0.0000"	"      0.000"	"     0.00000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"   3892.471"	"     0.00000"	"      0.0000"	"     0.0000"	"     0.0000"	"      0.000"	"      0.0000"	"     0.00000"	"   7434.874"	"      0.0000"	"      0.000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"    0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"      0.000"	"      0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.000"	"      0.000"	"     0.000"	"   4250.4592"	"0.000000e+00"	"      0.0000"	"      0.0000"	"      0.0000"	"     0.0000"	"  7848.416"	"      0.0000"	"      0.0000"	"     0.00000"	"      0.0000"	"     0.0000"
""	""	""	""	"H-Ile-Val-OH"	"231.17"	""	""	"114"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	"   312.4579"	"   556.4868"	"   104.76765"	"   313.4757"	"2.311727e+01"	"    36.6206"	"   1434.7625"	"   1034.040"	"    26.51671"	"   315.7213"	"   645.5143"	"   603.3657"	"   139.8196"	"  1176.5389"	"   723.0731"	"    613.3231"	"   1733.497"	"    93.60609"	"   1206.9407"	"   249.1769"	"   676.7347"	"   1112.712"	"    469.6437"	"   741.80164"	"   2630.731"	"    317.3847"	"   1023.624"	"  1278.8911"	"   364.7630"	"   584.6440"	"    679.3198"	"  328.8364"	"   120.2037"	"   698.8819"	"   391.8173"	"  1005.9466"	"    757.5134"	"    465.042"	"    627.3488"	"   331.3428"	"   524.5821"	"   499.9124"	"   1533.644"	"   1844.845"	"   654.887"	"    855.5607"	"2.968578e+01"	"    994.1805"	"    645.0767"	"    383.8857"	"   205.3367"	"  2032.572"	"    592.2828"	"    649.7609"	"   498.88675"	"    119.5417"	"   287.0795"
"CHEBI:75012|CHEBI:73579"	"C11H22N2O3"	"InChI=1/C11H22N2O3/c1-5-7(4)9(11(15)16)13-10(14)8(12)6(2)3/h6-|InChI=1/C11H22N2O3/c1-6(2)5-8(12)10(14)13-9(7(3)4)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t8-,9-/m0/s19H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t7-,8-,9-/m0/s1"	"CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@H](C(C)C)N|CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N"	"H-Val-Ile-OH|H-Leu-Val-OH"	"231.17"	""	""	"138"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"  2302.3325"	"  1667.2275"	"   260.02606"	"   315.2792"	"2.804615e+02"	"  1537.7795"	"   2591.2798"	"   3317.582"	"  4053.17285"	"  2041.6094"	"  1982.0709"	"  2157.6648"	"  1351.2147"	"  1720.1012"	"  1336.8855"	"   2046.0983"	"   4008.591"	"    64.17305"	"   5584.5044"	"   506.0807"	"  1890.2686"	"   2471.456"	"   1159.2799"	"   206.80808"	"  13411.753"	"    466.4196"	"   4011.913"	"  3364.2207"	"  1316.1202"	"  2545.0771"	"   2968.4753"	" 1052.4840"	"   116.1888"	"  1155.1288"	"     0.0000"	"  2310.2576"	"   1761.5764"	"   1151.661"	"    811.4618"	"   559.3212"	"  2213.7559"	"   985.3378"	"   1406.736"	"   3518.667"	"  3107.763"	"   3556.3276"	"2.364599e+02"	"   2374.5305"	"   1236.8516"	"    857.3931"	"   874.1813"	"  5098.778"	"   1772.5868"	"   1108.4364"	"  1179.09705"	"   2061.8389"	"  1209.3798"
"CHEBI:75013"	"C11H22N2O3"	"InChI=1/C11H22N2O3/c1-6(2)5-8(11(15)16)13-10(14)9(12)7(3)4/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t8-,9-/m0/s1"	"CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](C(C)C)N"	"H-Val-Leu-OH"	"231.17"	""	""	"162"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"  2608.8174"	"   858.6145"	"    65.16927"	"   174.4823"	"2.190070e+01"	"   131.3685"	"  12737.4775"	"  12103.715"	"   823.91235"	"  3213.0725"	"   374.9582"	"     0.0000"	"     0.0000"	"   765.8707"	"     0.0000"	"   2544.6709"	"   4175.808"	"    20.44618"	"  16036.4590"	"   261.9758"	"     0.0000"	"   8577.287"	"   2546.7073"	"    19.14179"	"  31196.580"	"      0.0000"	"   6407.560"	"  9987.2920"	"   251.1435"	"  2836.6724"	"   5770.5142"	"    0.0000"	"    18.4769"	"  2284.7500"	"  1158.4033"	"  3411.0967"	"   4862.2134"	"   1704.012"	"      0.0000"	"     0.0000"	"  1172.5825"	"     0.0000"	"   3284.978"	"   8512.498"	"  2586.298"	"   8867.4160"	"5.365644e+01"	"    285.0085"	"   5686.2583"	"    882.5316"	"     0.0000"	" 11625.609"	"   3383.6475"	"    289.2185"	"    15.46953"	"    102.4125"	"     0.0000"
""	"C11H20N2O3"	"InChI=1S/C11H20N2O3/c1-7(2)6-8(12)10(14)13-5-3-4-9(13)11(15)16/h7-9H,3-6,12H2,1-2H3,(H,15,16)"	"CC(C)CC(C(=O)N1CCCC1C(=O)O)N"	"H-Leu-Pro-OH"	"229.15"	""	""	"156"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	" 10375.7191"	"  8455.4795"	"     0.00000"	"  6485.3237"	"7.313711e+03"	"     0.0000"	"  23033.8564"	"  29831.832"	" 21579.87134"	"  9463.7833"	"  6297.5267"	"  7719.0854"	"  5016.7410"	"  8831.7241"	"     0.0000"	"   9810.7322"	"  22796.581"	"     0.00000"	"  28782.7302"	"  9995.8143"	"  7308.4147"	"  19548.999"	"  17455.9441"	"  6420.31290"	"  56635.685"	"  45594.7162"	"  23091.031"	" 26078.6548"	"  8752.1386"	" 12825.6430"	"  14808.3853"	" 7469.2791"	"     0.0000"	" 11489.1530"	" 14999.5024"	" 20853.0506"	"  14519.5080"	"  12987.150"	"  26511.9796"	"     0.0000"	" 10764.3180"	"  5826.2421"	"  20428.294"	"  28670.200"	"  7997.516"	"  20772.5796"	"1.025868e+04"	"  13394.8091"	"  13109.7120"	"   5040.6384"	"     0.0000"	" 50965.015"	"  12737.3554"	"  11616.4824"	"     0.00000"	"   9854.4689"	"     0.0000"
""	"C15H22N2O4"	"InChI=1S/C15H22N2O4/c1-9(2)7-12(16)14(19)17-13(15(20)21)8-10-3-5-11(18)6-4-10/h3-6,9,12-13,18H,7-8,16H2,1-2H3,(H,17,19)(H,20,21)"	"CC(C)CC(C(=O)NC(Cc1ccc(cc1)O)C(=O)O)N"	"H-Leu-Tyr-OH"	"295.17"	""	""	"168"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	"  2221.5386"	"  1320.8699"	"     0.00000"	"     0.0000"	"0.000000e+00"	"     0.0000"	"   4750.0892"	"   5745.141"	"  2682.81741"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"   2027.1774"	"      0.000"	"     0.00000"	"   6218.1473"	"     0.0000"	"     0.0000"	"   4217.862"	"   2939.1467"	"     0.00000"	"  13413.166"	"      0.0000"	"   4026.497"	"  3036.3622"	"     0.0000"	"  1830.8527"	"   1865.5248"	"    0.0000"	"     0.0000"	"  2081.5625"	"  2612.6289"	"  3352.2208"	"   2880.4931"	"   1614.318"	"      0.0000"	"     0.0000"	"  1585.8782"	"     0.0000"	"   6949.462"	"   3229.415"	"  1918.737"	"   4236.0591"	"1.610783e+03"	"   1827.6099"	"   3341.8900"	"   1176.0800"	"     0.0000"	" 11579.314"	"      0.0000"	"      0.0000"	"     0.00000"	"    942.1724"	"     0.0000"
""	"C15H22N2O4"	"InChI=1S/C15H22N2O4/c1-3-9(2)13(15(20)21)17-14(19)12(16)8-10-4-6-11(18)7-5-10/h4-7,9,12-13,18H,3,8,16H2,1-2H3,(H,17,19)(H,20,21)"	"CCC(C)C(C(=O)O)NC(=O)C(Cc1ccc(cc1)O)N"	"H-Tyr-Ile-OH"	"295.17"	""	""	"174"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	"  2910.4960"	"     0.0000"	"     0.00000"	"     0.0000"	"1.148277e+04"	"     0.0000"	"   8356.7681"	"   7577.158"	"  4633.89600"	"  1730.3678"	"     0.0000"	"     0.0000"	"     0.0000"	"   889.4100"	"     0.0000"	"   3269.8432"	"   4759.192"	"     0.00000"	"   8251.9852"	"     0.0000"	"     0.0000"	"   7071.150"	"   3123.0460"	"     0.00000"	"  18884.135"	"      0.0000"	"   6792.864"	"  6004.9279"	"     0.0000"	"  2343.3823"	"   4873.0357"	"    0.0000"	"     0.0000"	"  4247.5545"	"  3097.9187"	"  5718.9925"	"   5982.3275"	"   1845.916"	"      0.0000"	"     0.0000"	"  3146.7617"	"     0.0000"	"   6289.358"	"   7509.311"	"  1682.437"	"   6933.6248"	"1.830833e+03"	"   4365.8105"	"   3789.5099"	"      0.0000"	"     0.0000"	"  9246.573"	"      0.0000"	"   3318.8097"	"     0.00000"	"   2270.7566"	"     0.0000"
"CHEBI:75003"	"C15H22N2O4"	"InChI=1/C15H22N2O4/c1-9(2)7-13(15(20)21)17-14(19)12(16)8-10-3-5-11(18)6-4-10/h3-6,9,12-13,18H,7-8,16H2,1-2H3,(H,17,19)(H,20,21)/t12-,13-/m0/s1"	"CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)N"	"H-Tyr-Leu-OH"	"295.17"	""	""	"192"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"  6233.4843"	"  5529.9658"	"     0.00000"	"  3677.8618"	"1.139313e+04"	"  1806.4550"	"  25362.4127"	"  17892.377"	" 10430.77315"	"  7682.5912"	"  3959.0915"	"  3572.5613"	"  4246.8506"	"  5668.6163"	"  1909.5701"	"   9073.7652"	"  10498.941"	"     0.00000"	"  33490.3276"	"  3109.2593"	"  3757.8117"	"  20339.428"	"  12954.2285"	"  4549.61472"	"  54159.990"	"  18308.2614"	"  15472.183"	" 17550.6084"	"  5984.7651"	"  6421.4762"	"  11231.9783"	" 2054.7626"	"     0.0000"	"  8973.4966"	"  9417.5175"	" 14695.8606"	"  19893.1835"	"   7471.642"	"   7118.3084"	"   473.9961"	"  6668.6558"	"  1104.9648"	"  23290.054"	"  23073.611"	"  6420.317"	"  21355.5761"	"2.278107e+04"	"  10754.1383"	"  13904.0179"	"   7655.1235"	"     0.0000"	" 37803.059"	"   9941.9341"	"   7882.3969"	"  2427.99632"	"   7956.5531"	"  2798.0578"
"CHEBI:73638"	"C14H20N2O3"	"InChI=1/C14H20N2O3/c1-9(2)12(14(18)19)16-13(17)11(15)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)/t11-,12-/m0/s1"	"CC(C)[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)N"	"H-Phe-Val-OH"	"265.15"	""	""	"180"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"  3714.7698"	"  1838.6100"	"     0.00000"	"  2067.0324"	"0.000000e+00"	"     0.0000"	"  14298.8385"	"   7504.002"	"  6493.04286"	"  2767.7285"	"     0.0000"	"     0.0000"	"  2946.6266"	"  4554.7003"	"     0.0000"	"   5204.1587"	"   5558.011"	"     0.00000"	"   9527.9649"	"  2380.5890"	"     0.0000"	"   9229.368"	"   6573.1956"	"  2963.81150"	"  24965.617"	"      0.0000"	"   7558.741"	"  7541.8349"	"  2582.2732"	"  3778.1062"	"   6422.0576"	" 1502.7929"	"     0.0000"	"  4024.3407"	"  3816.9707"	"  7626.6403"	"   6729.6972"	"   3491.642"	"   1477.8622"	"     0.0000"	"  3243.1184"	"     0.0000"	"   7190.452"	"   8979.755"	"  3237.282"	"  10743.1573"	"2.521037e+03"	"   5595.9525"	"   6522.6908"	"   3358.1041"	"     0.0000"	" 11172.536"	"   3954.5549"	"   3703.9006"	"     0.00000"	"   4470.3875"	"     0.0000"
""	"C14H20N2O3"	"InChI=1S/C14H20N2O3/c1-9(2)12(15)13(17)16-11(14(18)19)8-10-6-4-3-5-7-10/h3-7,9,11-12H,8,15H2,1-2H3,(H,16,17)(H,18,19)"	"CC(C)C(C(=O)NC(Cc1ccccc1)C(=O)O)N"	"H-Val-Phe-OH"	"265.15"	""	""	"198"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	""	""	""	""	""	""	""	""	""	""	"  3133.4100"	"     0.0000"	"     0.00000"	"     0.0000"	"4.120333e+03"	"     0.0000"	"   9811.8532"	"   6496.787"	"  4962.78664"	"  2944.3393"	"     0.0000"	"     0.0000"	"     0.0000"	"  2802.1416"	"     0.0000"	"   2149.6598"	"   5544.688"	"     0.00000"	"  13457.4553"	"     0.0000"	"     0.0000"	"   7774.380"	"   4906.0194"	"  2339.56135"	"  25680.336"	"   1628.0199"	"   8107.344"	"  5438.8997"	"  2603.4723"	"  3280.4473"	"   4802.7994"	"    0.0000"	"     0.0000"	"  3299.8078"	"  2310.1349"	"  7101.5989"	"   5593.7531"	"   3078.766"	"      0.0000"	"     0.0000"	"  2788.8858"	"     0.0000"	"   8951.117"	"   8934.778"	"  2084.572"	"   8903.0092"	"1.747739e+03"	"   5005.6531"	"   5494.5258"	"   2832.5327"	"     0.0000"	" 15511.830"	"   2981.0357"	"   4925.7743"	"     0.00000"	"   3097.5093"	"     0.0000"
"CHEBI:74067"	"C12H24N2O3"	"InChI=1/C12H24N2O3/c1-5-7(3)9(13)11(15)14-10(12(16)17)8(4)6-2/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t7-,8-,9-,10-/m0/s1"	"CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)N"	"H-Ile-Ile-OH"	"245.18"	""	""	"186"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"     0.0000"	"     0.0000"	"     0.00000"	"     0.0000"	"0.000000e+00"	"     0.0000"	"    935.2978"	"   1825.303"	"     0.00000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"   1462.477"	"     0.00000"	"   3664.6608"	"     0.0000"	"     0.0000"	"      0.000"	"      0.0000"	"     0.00000"	"   5220.209"	"      0.0000"	"   1561.640"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"    0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"      0.000"	"      0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"   4585.492"	"      0.000"	"     0.000"	"   1506.5147"	"0.000000e+00"	"      0.0000"	"      0.0000"	"      0.0000"	"     0.0000"	"  8045.479"	"      0.0000"	"      0.0000"	"     0.00000"	"      0.0000"	"     0.0000"
"CHEBI:74540"	"C12H24N2O3"	"InChI=1/C12H24N2O3/c1-5-8(4)10(12(16)17)14-11(15)9(13)6-7(2)3/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t8-,9-,10-/m0/s1"	"CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@H](CC(C)C)N"	"H-Leu-Ile-OH"	"245.18"	""	""	"198"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"  5702.0949"	"     0.0000"	"     0.00000"	"     0.0000"	"0.000000e+00"	"     0.0000"	"  20582.3933"	"  15170.479"	"  4210.74608"	"  4682.9082"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"   3805.8597"	"   8422.872"	"     0.00000"	"  32618.4246"	"     0.0000"	"     0.0000"	"  16523.519"	"   7192.5363"	"     0.00000"	"  48433.059"	"      0.0000"	"  12730.614"	" 10299.1853"	"     0.0000"	"  2607.6145"	"  10216.0479"	"    0.0000"	"     0.0000"	"  4722.5525"	"  5421.9774"	"  8354.7850"	"  11692.4159"	"   4322.856"	"      0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"  18638.280"	"  14246.965"	"  5823.771"	"  17582.1946"	"1.882143e+03"	"   5038.1019"	"   9333.7289"	"   2645.4597"	"     0.0000"	" 35422.872"	"   7180.1334"	"      0.0000"	"     0.00000"	"   5725.5854"	"     0.0000"
"CHEBI:74072"	"C12H24N2O3"	"InChI=1/C12H24N2O3/c1-5-8(4)10(13)11(15)14-9(12(16)17)6-7(2)3/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t8-,9-,10-/m0/s1"	"CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N"	"H-Ile-Leu-OH"	"245.18"	""	""	"204"	"NEWT:3702"	"Arabidopsis thaliana (thale cress)"	"ChEBI"	""	""	""	""	""	""	""	""	""	"     0.0000"	"     0.0000"	"     0.00000"	"     0.0000"	"0.000000e+00"	"     0.0000"	"      0.0000"	"      0.000"	"     0.00000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"      0.000"	"     0.00000"	"      0.0000"	"     0.0000"	"     0.0000"	"      0.000"	"      0.0000"	"     0.00000"	"      0.000"	"      0.0000"	"      0.000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"    0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.0000"	"      0.000"	"      0.0000"	"     0.0000"	"     0.0000"	"     0.0000"	"      0.000"	"      0.000"	"     0.000"	"      0.0000"	"0.000000e+00"	"      0.0000"	"      0.0000"	"      0.0000"	"     0.0000"	"     0.000"	"      0.0000"	"      0.0000"	"     0.00000"	"      0.0000"	"     0.0000"
